Squad,Poss,Gls,Ast,G-PK,Gls(p90),Ast(p90),G+A(p90),G-PK(p90),G+A-PK(p90)
Arsenal,58.3,62,53,61,1.63,1.39,3.03,1.61,3
Aston Villa,46.4,24,19,22,0.63,0.5,1.13,0.58,1.08
Bournemouth,51.2,43,28,40,1.13,0.74,1.87,1.05,1.79
Chelsea,56.2,55,40,51,1.45,1.05,2.5,1.34,2.39
Crystal Palace,45.8,38,21,34,1,0.55,1.55,0.89,1.45
Everton,51.9,56,44,52,1.47,1.16,2.63,1.37,2.53
Leicester City,42.6,68,43,58,1.79,1.13,2.92,1.53,2.66
Liverpool,57.2,62,50,60,1.63,1.32,2.95,1.58,2.89
Manchester City,56.9,71,53,66,1.87,1.39,3.26,1.74,3.13
Manchester Utd,58.5,46,31,43,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,46.6,43,34,40,1.13,0.89,2.03,1.05,1.95
Norwich City,46,38,27,37,1,0.71,1.71,0.97,1.68
Southampton,49.2,58,45,55,1.53,1.18,2.71,1.45,2.63
Stoke City,49.7,40,29,35,1.05,0.76,1.82,0.92,1.68
Sunderland,41,44,30,41,1.16,0.79,1.95,1.08,1.87
Swansea City,52.5,41,25,36,1.08,0.66,1.74,0.95,1.61
Tottenham,57.4,68,50,63,1.79,1.32,3.11,1.66,2.97
Watford,45.1,38,18,32,1,0.47,1.47,0.84,1.32
West Brom,39.8,32,25,31,0.84,0.66,1.5,0.82,1.47
West Ham,48.4,64,38,60,1.68,1,2.68,1.58,2.58
