Squad,Players used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,38,56,401,144,35.9,10.55,3.79,0.13,0.37,15.9,19,3,3,49.2,46.9,0.12,+6.8,+6.1
Aston Villa,28,38,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,1,3,40.1,37.7,0.08,-0.1,+1.3
Bournemouth,27,38,38,384,116,30.2,10.11,3.05,0.09,0.29,16.4,21,4,4,42.7,39.7,0.1,-4.7,-5.7
Brighton,25,38,35,456,137,30,12,3.61,0.07,0.25,17.1,11,1,2,41.2,39.7,0.09,-6.2,-5.7
Burnley,22,38,41,384,124,32.3,10.11,3.26,0.1,0.31,15.7,17,3,3,43.9,41.6,0.11,-2.9,-3.6
Chelsea,27,38,69,619,210,33.9,16.29,5.53,0.1,0.3,16.2,27,7,7,66.6,61.7,0.1,+2.4,+0.3
Crystal Palace,25,38,29,372,116,31.2,9.79,3.05,0.07,0.22,16.5,15,3,3,34,31.9,0.09,-5,-5.9
Everton,24,38,42,465,155,33.3,12.24,4.08,0.09,0.26,15.7,20,1,1,49.3,48.5,0.11,-7.3,-7.5
Leicester City,24,38,65,533,181,34,14.03,4.76,0.11,0.33,16.7,20,5,7,61.6,56.2,0.11,+3.4,+3.8
Liverpool,24,38,83,585,222,37.9,15.39,5.84,0.13,0.35,16.1,18,5,5,71.5,67.7,0.12,+11.5,+10.3
Manchester City,24,38,100,730,246,33.7,19.21,6.47,0.13,0.38,15.8,27,6,11,93,84.6,0.12,+7.0,+9.4
Manchester Utd,29,38,65,528,200,37.9,13.89,5.26,0.1,0.28,18.5,33,10,14,59.4,48.8,0.09,+5.6,+6.2
Newcastle Utd,28,38,38,397,127,32,10.45,3.34,0.1,0.3,18.5,14,0,1,33.1,32.3,0.08,+4.9,+5.7
Norwich City,30,38,25,409,124,30.3,10.76,3.26,0.06,0.19,17.4,16,2,2,38,36.6,0.09,-13,-13.6
Sheffield Utd,26,38,36,353,109,30.9,9.29,2.87,0.1,0.32,14.7,4,1,1,41.5,40.8,0.12,-5.5,-5.8
Southampton,25,38,51,497,169,34,13.08,4.45,0.1,0.29,17.4,27,2,5,54,50,0.1,-3,-1
Tottenham,29,38,56,439,155,35.3,11.55,4.08,0.12,0.34,17.8,21,3,4,46.1,43,0.1,+9.9,+10.0
Watford,26,38,35,410,114,27.8,10.79,3,0.07,0.25,16.5,18,7,8,45.1,39.1,0.1,-10.1,-11.1
West Ham,29,38,49,414,157,37.9,10.89,4.13,0.11,0.29,15.6,13,4,4,46.2,43.2,0.11,+2.8,+1.8
Wolves,21,38,49,453,142,31.3,11.92,3.74,0.1,0.32,16.9,12,4,4,47.1,44.1,0.1,+1.9,+0.9
