Rk,Player,Nation,Pos,Squad,Age,Born,ninety,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,25,1992,38,22,0,0,5,0,27.8,0.29,+5.8,+0.15,197,397,49.6,1055,196,27.2,32.5,213,51.6,46.3,272,22,8.1,39,1.03,16.7,Matches
2,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,39,1,0,6,0,37,0.3,-2,-0.06,186,323,57.6,898,168,22.5,29,259,46.7,41.6,245,17,6.9,22,0.61,15.7,Matches
3,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,47,2,0,6,2,37.8,0.36,-7.2,-0.3,137,342,40.1,473,121,44.8,39.8,189,68.8,54,231,23,10,9,0.38,13.8,Matches
5,Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,18,3,2,2,0,16.9,0.28,-1.1,-0.09,64,186,34.4,236,59,45.3,40.9,114,69.3,53.7,125,4,3.2,4,0.33,13.5,Matches
10,Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38,48,6,2,10,1,49.2,0.33,+2.2,+0.06,276,740,37.3,854,145,54.6,43.9,322,85.1,62.5,412,36,8.7,23,0.61,13.2,Matches
11,Ederson,br BRA,GK,Manchester City,24,1993,38,23,4,1,5,0,27.5,0.32,+4.5,+0.12,148,290,51,912,176,21.9,30,187,48.1,47.8,182,17,9.3,27,0.71,16.8,Matches
12,Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38,69,4,1,13,0,70.8,0.33,+1.8,+0.05,336,1121,30,883,50,90.9,62,321,99.1,70.4,293,20,6.8,35,0.92,15.4,Matches
13,Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38,55,4,0,10,1,65.4,0.33,+11.4,+0.30,323,871,37.1,928,155,62.9,49.4,308,93.2,68.2,367,36,9.8,17,0.45,13.5,Matches
16,Ben Foster,eng ENG,GK,Watford,35,1983,38,59,4,2,7,3,56.3,0.32,+0.3,+0.01,366,979,37.4,944,106,73.7,52.8,307,92.2,68.3,380,35,9.2,48,1.26,15.7,Matches
18,David de Gea,es ESP,GK,Manchester Utd,27,1990,38,54,6,2,7,3,49.6,0.27,-1.4,-0.04,321,686,46.8,772,145,54,44.5,332,81,60.6,307,18,5.9,13,0.34,12.4,Matches
