Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-10,20:00 (00:30),Matchweek 1,Fri,Home,W,2,1,Leicester City,1.7,1,46,74439,Paul Pogba,4-3-2003,Andre Marriner,Match Report,
2018-08-19,16:00 (20:30),Matchweek 2,Sun,Away,L,2,3,Brighton,1.4,1.5,66,30592,Paul Pogba,4-3-2003,Kevin Friend,Match Report,
2018-08-27,20:00 (00:30),Matchweek 3,Mon,Home,L,0,3,Tottenham,1.8,1.4,56,74400,Antonio Valencia,3-5-1-1,Craig Pawson,Match Report,
2018-09-02,16:00 (20:30),Matchweek 4,Sun,Away,W,2,0,Burnley,2.9,0.7,53,21525,Antonio Valencia,4-3-2003,Jonathan Moss,Match Report,
2018-09-15,17:30 (22:00),Matchweek 5,Sat,Away,W,2,1,Watford,1.2,0.9,57,20537,Antonio Valencia,4-3-2003,Mike Dean,Match Report,
2018-09-22,15:00 (19:30),Matchweek 6,Sat,Home,D,1,1,Wolves,0.5,0.6,64,74489,Antonio Valencia,4-3-2003,Kevin Friend,Match Report,
2018-09-29,12:30 (17:00),Matchweek 7,Sat,Away,L,1,3,West Ham,0.3,1.3,52,56938,Ashley Young,3-5-2002,Michael Oliver,Match Report,
2018-10-06,17:30 (22:00),Matchweek 8,Sat,Home,W,3,2,Newcastle Utd,1.9,1.7,71,74519,Ashley Young,4-3-2003,Anthony Taylor,Match Report,
2018-10-20,12:30 (17:00),Matchweek 9,Sat,Away,D,2,2,Chelsea,0.8,1.8,38,40721,Ashley Young,4-2-3-1,Mike Dean,Match Report,
2018-10-28,16:00 (21:30),Matchweek 10,Sun,Home,W,2,1,Everton,1.9,1.8,53,74525,Ashley Young,4-3-2-1,Jonathan Moss,Match Report,
2018-11-03,12:30 (18:00),Matchweek 11,Sat,Away,W,2,1,Bournemouth,3.1,3,51,10792,Ashley Young,4-1-4-1,Paul Tierney,Match Report,
2018-11-11,16:30 (22:00),Matchweek 12,Sun,Away,L,1,3,Manchester City,1,1.6,35,54316,Ashley Young,4-1-4-1,Anthony Taylor,Match Report,
2018-11-24,15:00 (20:30),Matchweek 13,Sat,Home,D,0,0,Crystal Palace,1.4,1.4,59,74516,Ashley Young,4-1-4-1,Lee Mason,Match Report,
2018-12-01,17:30 (23:00),Matchweek 14,Sat,Away,D,2,2,Southampton,1.4,0.5,59,30187,Ashley Young,3-2-3-2,Kevin Friend,Match Report,
2018-12-05,20:00 (01:30),Matchweek 15,Wed,Home,D,2,2,Arsenal,1.2,1.1,45,74507,Chris Smalling,3-4-1-2,Andre Marriner,Match Report,
2018-12-08,15:00 (20:30),Matchweek 16,Sat,Home,W,4,1,Fulham,2.5,1.1,62,74523,Ashley Young,4-2-3-1,Lee Probert,Match Report,
2018-12-16,16:00 (21:30),Matchweek 17,Sun,Away,L,1,3,Liverpool,0.6,2.5,37,52908,Ashley Young,3-2-3-2,Martin Atkinson,Match Report,
2018-12-22,17:30 (23:00),Matchweek 18,Sat,Away,W,5,1,Cardiff City,2.6,1.2,72,33028,Ashley Young,4-1-4-1,Michael Oliver,Match Report,
2018-12-26,15:00 (20:30),Matchweek 19,Wed,Home,W,3,1,Huddersfield,1.8,1.5,65,74523,David de Gea,4-2-3-1,Jonathan Moss,Match Report,
2018-12-30,16:30 (22:00),Matchweek 20,Sun,Home,W,4,1,Bournemouth,2,0.5,65,74556,Ashley Young,4-2-3-1,Lee Mason,Match Report,
2019-01-02,20:00 (01:30),Matchweek 21,Wed,Away,W,2,0,Newcastle Utd,2.4,1,63,52217,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2019-01-13,16:30 (22:00),Matchweek 22,Sun,Away,W,1,0,Tottenham,1.3,2.3,38,80062,Ashley Young,4-4-2◆,Mike Dean,Match Report,
2019-01-19,15:00 (20:30),Matchweek 23,Sat,Home,W,2,1,Brighton,2.2,0.6,55,74532,Ashley Young,4-1-4-1,Paul Tierney,Match Report,
