Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-01-29,20:00 (01:30),Matchweek 24,Tue,Home,D,2,2,Burnley,3.1,0.7,73,74529,Ashley Young,4-1-4-1,Jonathan Moss,Match Report,
2019-02-03,14:05 (19:35),Matchweek 25,Sun,Away,W,1,0,Leicester City,1.3,1.5,57,32148,Ashley Young,4-4-2◆,Mike Dean,Match Report,
2019-02-09,12:30 (18:00),Matchweek 26,Sat,Away,W,3,0,Fulham,1.7,1.4,49,25001,David de Gea,4-1-4-1,Paul Tierney,Match Report,
2019-02-24,14:05 (19:35),Matchweek 27,Sun,Home,D,0,0,Liverpool,0.2,0.4,36,74519,Ashley Young,4-4-2◆,Michael Oliver,Match Report,
2019-02-27,20:00 (01:30),Matchweek 28,Wed,Away,W,3,1,Crystal Palace,1.3,1.5,54,25754,Ashley Young,4-3-2003,Martin Atkinson,Match Report,
2019-03-02,15:00 (20:30),Matchweek 29,Sat,Home,W,3,2,Southampton,2.2,0.5,63,74459,Ashley Young,4-4-2◆,Stuart Attwell,Match Report,
2019-03-10,16:30 (22:00),Matchweek 30,Sun,Away,L,0,2,Arsenal,1.6,1.5,54,60000,Ashley Young,4-4-2002,Jonathan Moss,Match Report,
2019-03-30,15:00 (20:30),Matchweek 32,Sat,Home,W,2,1,Watford,1.3,1.3,51,74543,Ashley Young,4-4-2◆,Stuart Attwell,Match Report,
2019-04-02,19:45 (00:15),Matchweek 33,Tue,Away,L,1,2,Wolves,1.6,1.5,51,31302,Ashley Young,3-5-1-1,Mike Dean,Match Report,
2019-04-13,17:30 (22:00),Matchweek 34,Sat,Home,W,2,1,West Ham,2.4,1.2,43,74478,David de Gea,4-2-3-1,Graham Scott,Match Report,
2019-04-21,13:30 (18:00),Matchweek 35,Sun,Away,L,0,4,Everton,0.3,1.2,51,39395,David de Gea,4-3-2003,Paul Tierney,Match Report,
2019-04-24,20:00 (00:30),Matchweek 31,Wed,Home,L,0,2,Manchester City,0.7,0.5,37,74431,Ashley Young,3-5-2002,Andre Marriner,Match Report,
2019-04-28,16:30 (21:00),Matchweek 36,Sun,Home,D,1,1,Chelsea,0.7,1.1,52,74526,Ashley Young,4-4-2◆,Martin Atkinson,Match Report,
2019-05-05,14:00 (18:30),Matchweek 37,Sun,Away,D,1,1,Huddersfield,1.3,1.1,64,24263,Ashley Young,4-4-2◆,Lee Mason,Match Report,
2019-05-12,15:00 (19:30),Matchweek 38,Sun,Home,L,0,2,Cardiff City,1.8,1.9,73,74457,Ashley Young,4-4-2◆,Jonathan Moss,Match Report,
