Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
282,Romelu Lukaku\5eae500a,be BEL,FW,Manchester Utd,25,1993,23.7,377,583,64.7,5638,1272,226,288,78.5,102,195,52.3,31,60,51.7,0,2.4,-2.4,24,25,27,5,42,Matches
283,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,21,1996,31.5,1244,1620,76.8,23912,7458,569,642,88.6,445,542,82.1,212,383,55.4,7,7.3,-0.3,95,129,50,4,147,Matches
284,Gary Madine\e3e6502a,eng ENG,FWMF,Cardiff City,27,1990,0.4,8,11,72.7,115,36,5,6,83.3,3,5,60,0,0,,0,0,0,0,2,1,0,3,Matches
285,Harry Maguire\d8931174,eng ENG,DF,Leicester City,25,1993,28.8,1500,1735,86.5,35399,11761,388,434,89.4,742,807,91.9,358,464,77.2,0,0.5,-0.5,10,177,9,0,142,Matches
286,Riyad Mahrez\892d5bb1,dz ALG,FWMF,Manchester City,27,1991,14.9,716,886,80.8,13180,2778,316,359,88,291,341,85.3,98,154,63.6,4,4.2,-0.2,24,27,47,10,71,Matches
287,Ainsley Maitland-Niles\e3a5814e,eng ENG,DF,Arsenal,20,1997,11,458,577,79.4,8017,2790,218,251,86.9,196,231,84.8,40,71,56.3,1,1.2,-0.2,6,33,14,1,53,Matches
288,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,26,1992,34.2,935,1215,77,15335,3316,508,602,84.4,322,408,78.9,85,135,63,1,4.5,-3.5,44,79,45,5,106,Matches
289,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,24,1994,12.2,350,515,68,6115,2590,157,192,81.8,150,218,68.8,36,78,46.2,3,0.9,+2.1,8,27,11,3,40,Matches
290,Solly March\bb5fbd2b,eng ENG,MFFW,Brighton,24,1994,27.4,598,933,64.1,11298,3198,272,336,81,215,317,67.8,91,194,46.9,5,3.6,+1.4,38,37,30,19,44,Matches
291,Adrian Mariappa\8aa5f52c,jm JAM,DF,Watford,31,1986,21.4,745,888,83.9,16013,6068,228,249,91.6,368,405,90.9,145,226,64.2,0,0.7,-0.7,5,47,3,0,40,Matches
292,Lazar Marković\723ba189,rs SRB,FW,Fulham,24,1994,0.5,29,30,96.7,388,97,19,19,100,7,7,100,2,2,100,0,0,0,1,2,1,0,2,Matches
293,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,22,1995,18,576,755,76.3,7906,2210,370,438,84.5,175,229,76.4,19,40,47.5,2,2.6,-0.6,32,33,29,5,75,Matches
294,Adam Masina\de0f152c,ma MAR,DF,Watford,24,1994,11.2,435,553,78.7,7643,3326,213,235,90.6,173,213,81.2,41,85,48.2,1,0.6,+0.4,3,33,4,2,38,Matches
295,Arthur Masuaku\57df7a11,cd COD,DF,West Ham,24,1993,19.5,884,1094,80.8,15030,6100,459,496,92.5,310,384,80.7,95,164,57.9,1,1.2,-0.2,15,67,12,6,72,Matches
296,Juan Mata\29733c72,es ESP,FWMF,Manchester Utd,30,1988,14.3,619,766,80.8,11007,2603,317,349,90.8,201,239,84.1,86,150,57.3,2,3.3,-1.3,29,63,25,6,59,Matches
297,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,29,1988,27.1,1580,1795,88,30192,7695,673,734,91.7,663,736,90.1,221,283,78.1,0,0.7,-0.7,12,174,21,4,144,Matches
298,Joël Matip\b217ef29,cm CMR,DF,Liverpool,26,1991,17.1,1153,1310,88,25070,7346,281,307,91.5,673,712,94.5,192,276,69.6,0,0.1,-0.1,2,84,5,0,57,Matches
299,Konstantinos Mavropanos\00963611,gr GRE,DF,Arsenal,20,1997,1.6,125,133,94,2672,563,35,36,97.2,64,69,92.8,24,25,96,0,0.2,-0.2,1,12,0,0,8,Matches
300,Alfie Mawson\d368feb8,eng ENG,DF,Fulham,24,1994,12.6,387,471,82.2,8786,2786,103,114,90.4,204,220,92.7,77,130,59.2,0,0,0,1,13,0,0,28,Matches
301,Isaac Mbenza\aa1a8c7e,be BEL,FWMF,Huddersfield,22,1996,11,190,285,66.7,3286,891,102,131,77.9,62,87,71.3,24,51,47.1,1,0.8,+0.2,8,10,7,5,15,Matches
302,James McArthur\cee31595,sct SCO,MF,Crystal Palace,30,1987,34,1156,1449,79.8,20519,5106,525,606,86.6,473,559,84.6,133,220,60.5,6,3.5,+2.5,29,108,15,2,89,Matches
303,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,28,1989,25,337,657,51.3,13292,9668,29,29,100,137,140,97.9,170,485,35.1,0,0,0,0,14,0,0,0,Matches
304,James McCarthy\64b08de7,ie IRL,MF,Everton,27,1990,0.2,7,8,87.5,107,11,3,3,100,2,2,100,1,1,100,0,0,0,0,1,0,0,0,Matches
305,Kevin McDonald\71a08f97,sct SCO,MF,Fulham,29,1988,9.3,488,569,85.8,9130,2305,208,221,94.1,201,226,88.9,68,106,64.2,0,0.1,-0.1,4,42,1,0,27,Matches
306,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,18,1999,17.7,379,577,65.7,6863,2165,201,240,83.8,123,168,73.2,50,127,39.4,5,3,+2.0,27,23,18,12,32,Matches
307,Scott McTominay\d93c2511,sct SCO,MFDF,Manchester Utd,21,1996,9.6,386,452,85.4,6949,1930,175,192,91.1,160,181,88.4,45,69,65.2,0,0,0,1,29,1,0,29,Matches
308,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,28,1989,38,1108,1459,75.9,27492,10747,269,321,83.8,493,578,85.3,338,533,63.4,2,0.6,+1.4,8,125,4,1,87,Matches
309,Nathaniel Mendez-Laing\b4b2f632,eng ENG,MFFW,Cardiff City,26,1992,10.9,172,283,60.8,2580,1114,113,151,74.8,44,68,64.7,12,35,34.3,1,1.4,-0.4,20,13,9,6,27,Matches
310,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,24,1994,10,675,795,84.9,11819,3612,287,311,92.3,329,370,88.9,49,91,53.8,5,1.3,+3.7,12,53,26,10,85,Matches
311,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,26,1992,23.2,977,1110,88,16967,3913,447,485,92.2,405,438,92.5,100,141,70.9,0,0.2,-0.2,5,97,5,3,67,Matches
312,Chris Mepham\fed96827,wls WAL,DF,Bournemouth,20,1997,9.4,324,391,82.9,6860,2225,90,100,90,180,207,87,52,79,65.8,1,0,+1.0,0,17,0,0,22,Matches
313,Max Meyer\eba42d2b,de GER,MFFW,Crystal Palace,22,1995,15.7,566,699,81,8465,2127,322,371,86.8,195,232,84.1,35,63,55.6,2,1.4,+0.6,24,46,13,2,50,Matches
314,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,27,1991,38,1634,2139,76.4,32686,10235,595,681,87.4,737,860,85.7,269,525,51.2,2,3.4,-1.4,64,175,27,8,178,Matches
315,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,32,1986,19.9,1300,1612,80.6,25570,8998,551,624,88.3,524,602,87,206,329,62.6,4,5.5,-1.5,48,142,42,8,149,Matches
316,Yerry Mina\6d5701f2,co COL,DF,Everton,23,1994,9.9,405,467,86.7,9092,3089,101,114,88.6,215,230,93.5,87,118,73.7,0,0.1,-0.1,3,24,1,0,29,Matches
317,Tyrone Mings\8397a50c,eng ENG,DF,Bournemouth,25,1993,1.6,82,98,83.7,1477,542,35,41,85.4,41,45,91.1,6,9,66.7,0,0.1,-0.1,1,8,1,0,5,Matches
318,Aleksandar Mitrović\3925dbd6,rs SRB,FW,Fulham,23,1994,36.4,744,1035,71.9,10243,1815,482,624,77.2,197,286,68.9,35,55,63.6,3,2.3,+0.7,24,43,15,0,61,Matches
319,Henrikh Mkhitaryan\dd0daf32,am ARM,FWMF,Arsenal,29,1989,18.2,660,868,76,10575,3124,339,404,83.9,253,308,82.1,49,96,51,4,4.5,-0.5,27,68,32,3,91,Matches
320,Nacho Monreal\d4cb83cc,es ESP,DF,Arsenal,32,1986,20.7,1123,1289,87.1,18603,6454,538,575,93.6,477,532,89.7,85,135,63,3,1.4,+1.6,10,61,15,4,72,Matches
321,Martín Montoya\5cec2487,es ESP,DF,Brighton,27,1991,24.1,899,1145,78.5,15849,6986,396,442,89.6,396,493,80.3,95,163,58.3,1,1,0,18,63,28,14,78,Matches
322,Aaron Mooy\47b7e3af,au AUS,MFFW,Huddersfield,27,1990,25.9,1073,1423,75.4,19094,6179,545,631,86.4,367,451,81.4,144,282,51.1,1,2.6,-1.6,40,135,26,9,120,Matches
323,Álvaro Morata\129af0db,es ESP,FW,Chelsea,25,1992,10.5,172,221,77.8,2636,237,92,113,81.4,54,71,76.1,14,20,70,0,0.2,-0.2,6,15,1,0,4,Matches
324,Alberto Moreno\11b9265b,es ESP,DF,Liverpool,26,1992,1.7,110,126,87.3,2136,675,44,47,93.6,51,55,92.7,15,22,68.2,0,0.2,-0.2,3,7,5,1,12,Matches
325,Wes Morgan\80c31c97,jm JAM,DF,Leicester City,34,1984,21.4,742,889,83.5,15220,4311,222,249,89.2,385,446,86.3,124,174,71.3,0,0.2,-0.2,2,30,0,0,29,Matches
326,Sean Morrison\09fec029,eng ENG,DF,Cardiff City,27,1991,33.8,519,875,59.3,11453,5388,165,241,68.5,232,329,70.5,117,280,41.8,3,2.4,+0.6,18,33,6,1,51,Matches
327,Victor Moses\e726e11e,ng NGA,FW,Chelsea,27,1990,0.3,10,13,76.9,138,12,5,6,83.3,5,6,83.3,0,0,,0,0.2,-0.2,1,0,0,0,1,Matches
328,Steve Mounié\19ba6c6d,bj BEN,FW,Huddersfield,23,1994,19.8,365,561,65.1,5206,918,223,314,71,125,194,64.4,10,21,47.6,3,1.9,+1.1,17,23,4,0,31,Matches
329,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,25,1992,23.6,572,763,75,8846,2131,303,373,81.2,223,287,77.7,33,65,50.8,0,2,-2,27,33,17,2,55,Matches
330,Lys Mousset\d9cfca3d,fr FRA,FWMF,Bournemouth,22,1996,4.1,85,120,70.8,1123,261,55,73,75.3,20,30,66.7,4,4,100,0,0.4,-0.4,4,9,7,0,10,Matches
331,João Moutinho\f5a00fa4,pt POR,MF,Wolves,31,1986,33.7,1660,2063,80.5,35020,9508,592,651,90.9,733,849,86.3,321,527,60.9,8,6,+2.0,81,193,46,14,186,Matches
332,Jacob Murphy\de112b84,eng ENG,MFDF,Newcastle Utd,23,1995,3.4,35,68,51.5,790,254,13,18,72.2,14,26,53.8,8,22,36.4,1,0.4,+0.6,2,3,2,2,4,Matches
333,Josh Murphy\b30c7426,eng ENG,MFFW,Cardiff City,23,1995,20.2,208,382,54.5,3747,1433,109,140,77.9,65,121,53.7,30,86,34.9,2,2.9,-0.9,14,19,12,5,25,Matches
334,Glenn Murray\f2f29dda,eng ENG,FW,Brighton,34,1983,27.9,378,623,60.7,5343,1001,227,357,63.6,112,178,62.9,21,44,47.7,1,0.9,+0.1,11,25,9,3,34,Matches
335,Shkodran Mustafi\3f2d59fe,de GER,DF,Arsenal,26,1992,29,1446,1734,83.4,32231,10746,383,431,88.9,751,834,90,304,447,68,0,0.5,-0.5,6,114,10,0,99,Matches
336,Yoshinori Mutō\5343eb4e,jp JPN,FWMF,Newcastle Utd,26,1992,5.8,88,126,69.8,1221,259,48,58,82.8,29,42,69,4,6,66.7,0,0.3,-0.3,2,10,1,0,7,Matches
337,Georges-Kévin N'Koudou\76c131da,fr FRA,FW,Tottenham,23,1995,0.1,3,4,75,79,35,0,0,,2,2,100,1,2,50,1,0.2,+0.8,1,0,1,1,0,Matches
338,Samir Nasri\165bed61,fr FRA,MF,West Ham,31,1987,2.7,135,155,87.1,2084,479,78,87,89.7,37,41,90.2,15,22,68.2,2,0.8,+1.2,6,11,6,1,12,Matches
339,Marc Navarro\c2846353,es ESP,DF,Watford,23,1995,0.9,21,35,60,451,80,9,11,81.8,9,13,69.2,3,11,27.3,0,0,0,0,1,0,0,0,Matches
340,Wilfred Ndidi\6b47c5db,ng NGA,MF,Leicester City,21,1996,36.6,1614,2012,80.2,29786,7041,706,833,84.8,677,807,83.9,205,296,69.3,0,1.5,-1.5,22,156,13,0,144,Matches
341,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,21,1997,33.4,1567,1936,80.9,37490,9290,408,475,85.9,748,840,89,404,580,69.7,3,1.5,+1.5,21,195,16,3,165,Matches
342,Oumar Niasse\af721f98,sn SEN,FW,Cardiff City,28,1990,10.3,115,169,68,1645,349,70,90,77.8,34,47,72.3,6,10,60,0,0.4,-0.4,5,4,5,1,13,Matches
343,Oumar Niasse\af721f98,sn SEN,FW,Everton,28,1990,0.7,12,21,57.1,219,55,2,5,40,10,14,71.4,0,1,0,0,0.2,-0.2,1,2,1,0,3,Matches
344,Eddie Nketiah\a53649b7,eng ENG,MFFW,Arsenal,19,1999,0.7,19,20,95,230,53,11,11,100,7,7,100,0,1,0,0,0.1,-0.1,1,1,1,0,2,Matches
345,Mark Noble\ff527768,eng ENG,MF,West Ham,31,1987,25.5,1299,1536,84.6,26603,7346,488,554,88.1,548,624,87.8,243,319,76.2,5,2.2,+2.8,21,135,27,5,144,Matches
346,Håvard Nordtveit\6cafd68d,no NOR,DF,Fulham,28,1990,4,191,228,83.8,4649,1761,45,47,95.7,93,106,87.7,51,72,70.8,1,0.2,+0.8,3,13,0,0,6,Matches
347,Will Norris\c73ada83,eng ENG,GK,Wolves,24,1993,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
348,Michael Obafemi\caa1a7f0,ie IRL,FWMF,Southampton,18,2000,1.5,17,23,73.9,225,26,10,13,76.9,7,9,77.8,0,0,,1,0.2,+0.8,2,0,3,1,2,Matches
349,Pedro Obiang\ba1e04b3,gq EQG,MF,West Ham,26,1992,12.5,427,544,78.5,7986,2188,207,251,82.5,136,169,80.5,77,107,72,1,0.6,+0.4,4,46,4,1,47,Matches
350,Denis Odoi\f7750aa0,be BEL,DF,Fulham,30,1988,28.8,1150,1390,82.7,22317,7910,444,483,91.9,538,602,89.4,152,268,56.7,1,0.8,+0.2,11,99,9,2,78,Matches
351,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,30,1988,20.8,657,771,85.2,13699,4210,211,233,90.6,323,365,88.5,113,158,71.5,1,0.5,+0.5,4,35,2,0,29,Matches
352,Stefano Okaka\601ef102,it ITA,FW,Watford,28,1989,0.3,10,14,71.4,153,22,5,6,83.3,3,5,60,1,2,50,0,0.3,-0.3,2,1,1,1,0,Matches
353,Shinji Okazaki\68796d61,jp JPN,FWMF,Leicester City,32,1986,3.2,74,98,75.5,911,195,58,66,87.9,12,20,60,4,9,44.4,1,0.3,+0.7,2,4,0,0,6,Matches
354,Divock Origi\43a166b4,be BEL,FW,Liverpool,23,1995,4.1,77,115,67,1316,359,44,59,74.6,22,32,68.8,9,15,60,1,0.2,+0.8,3,5,4,2,7,Matches
355,Nicolás Otamendi\0d267745,ar ARG,DF,Manchester City,30,1988,13.7,1143,1218,93.8,24095,5835,308,317,97.2,666,699,95.3,167,194,86.1,0,0.2,-0.2,2,71,2,0,48,Matches
356,Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,Liverpool,24,1993,0.2,12,14,85.7,213,105,5,6,83.3,7,7,100,0,0,,0,0,0,1,3,0,0,6,Matches
357,Mesut Özil\16380240,de GER,MFFW,Arsenal,29,1988,19.3,1023,1172,87.3,16367,4399,546,596,91.6,364,404,90.1,85,128,66.4,2,5.8,-3.8,47,99,54,11,124,Matches
358,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,23,1994,7.4,451,518,87.1,6376,1733,281,303,92.7,145,158,91.8,18,36,50,0,0.6,-0.6,4,21,14,3,31,Matches
359,Sokratis Papastathopoulos\b682dcf6,gr GRE,DF,Arsenal,30,1988,24.4,1209,1338,90.4,26606,7682,350,365,95.9,600,634,94.6,253,325,77.8,2,0.5,+1.5,4,28,3,0,37,Matches
360,Callum Paterson\d2583bce,sct SCO,FWMF,Cardiff City,23,1994,22.2,280,573,48.9,4438,1996,162,286,56.6,92,196,46.9,22,57,38.6,1,1.7,-0.7,19,47,16,2,65,Matches
361,Rui Patrício\79b0d6a0,pt POR,GK,Wolves,30,1988,37,515,864,59.6,20631,14190,43,43,100,149,154,96.8,323,667,48.4,0,0,0,0,4,0,0,0,Matches
362,Pedro\3ca7254a,es ESP,FW,Chelsea,31,1987,19.8,955,1143,83.6,14977,3121,562,616,91.2,303,369,82.1,73,117,62.4,2,2.8,-0.8,27,52,32,8,69,Matches
