Rk,Player,Nation,Pos,Squad,Age,Born,ninety,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
3,Alisson,br BRA,GK,Liverpool,27,1992,33,32,4,1,4,0,37.9,0.31,+5.9,+0.18,127,275,46.2,964,159,22.6,30.2,173,32.9,35.5,218,22,10.1,44,1.33,17.9,Matches
4,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,48,6,0,4,1,54.6,0.32,+7.6,+0.21,171,431,39.7,752,158,38.2,34,249,57.8,43.1,325,32,9.8,20,0.56,13.9,Matches
11,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,43,3,1,4,2,37,0.28,-4,-0.16,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,0.24,12.2,Matches
12,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,19,1,0,1,1,19.4,0.31,+1.4,+0.11,79,186,42.5,306,64,38.2,36.9,121,57,47.3,161,13,8.1,6,0.46,12.2,Matches
13,Ederson,br BRA,GK,Manchester City,26,1993,36,28,7,0,2,1,29.2,0.28,+2.2,+0.06,139,305,45.6,932,148,24.9,31.5,158,46.2,43,179,14,7.8,23,0.64,15.7,Matches
14,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,44,3,0,4,4,44.8,0.31,+4.8,+0.14,281,662,42.4,731,141,60.9,46.2,271,80.1,57,357,27,7.6,11,0.31,12.4,Matches
16,David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,32,4,1,5,2,29.8,0.31,-0.2,-0.01,94,218,43.1,422,80,35.5,33.7,172,39.5,34.9,195,9,4.6,9,0.35,14.1,Matches
17,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,64,3,1,9,0,61.8,0.36,-2.2,-0.06,253,721,35.1,766,147,58.9,43.9,314,86,60.9,367,26,7.1,15,0.41,13.1,Matches
18,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,12,0,0,4,0,12.3,0.26,+0.3,+0.02,41,110,37.3,220,61,35.9,35.4,94,33,33.5,105,9,8.6,14,1.12,15.3,Matches
19,Sam Johnstone,eng ENG,GK,West Brom,27,1993,37,74,7,2,13,3,75.3,0.3,+4.3,+0.12,336,961,35,987,169,71.2,51.3,295,87.5,60.9,348,25,7.2,26,0.7,14.5,Matches
21,Bernd Leno,de GER,GK,Arsenal,28,1992,34.8,37,1,0,5,4,37.1,0.31,+4.1,+0.12,110,338,32.5,930,166,22,28.6,226,58.8,46.6,310,26,8.4,22,0.63,14.5,Matches
22,Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38,45,10,0,3,3,47,0.28,+5.0,+0.13,202,489,41.3,799,158,46.3,37.3,268,44.4,36.7,366,18,4.9,16,0.42,13.4,Matches
23,Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38,46,5,2,4,1,52.4,0.27,+7.4,+0.20,289,728,39.7,1041,162,52.7,42.5,254,70.5,52.9,393,33,8.4,21,0.55,13.1,Matches
24,Alex McCarthy,eng ENG,GK,Southampton,30,1989,30,57,6,1,4,1,47.9,0.31,-8.1,-0.27,155,525,29.5,898,124,45.8,36.8,171,66.7,47.6,239,22,9.2,20,0.67,15.1,Matches
25,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,30.5,25,2,1,4,1,24.1,0.27,+0.1,0,126,265,47.5,826,125,24.5,28.7,181,34.8,32.3,207,13,6.3,20,0.66,15.3,Matches
26,Illan Meslier,fr FRA,GK,Leeds United,20,2000,35,52,8,1,11,2,55.3,0.27,+5.3,+0.15,181,409,44.3,1082,269,28.4,30.6,266,38.3,34,198,21,10.6,20,0.57,13.6,Matches
29,Rui Patrício,pt POR,GK,Wolves,32,1988,37,51,7,1,9,3,44.6,0.28,-3.4,-0.09,205,453,45.3,536,130,52.8,40.5,265,64.2,44.9,374,22,5.9,6,0.16,11.5,Matches
31,Jordan Pickford,eng ENG,GK,Everton,26,1994,30.5,39,2,1,5,1,38.7,0.29,+0.7,+0.02,275,650,42.3,945,135,53.3,43.4,207,70.5,56.5,295,24,8.1,19,0.62,14.7,Matches
32,Nick Pope,eng ENG,GK,Burnley,28,1992,32,37,3,0,7,1,40.9,0.26,+4.9,+0.15,292,757,38.6,728,128,74.3,53,251,86.1,62.3,325,42,12.9,41,1.28,16.5,Matches
33,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38,63,3,0,8,3,61.9,0.29,+1.9,+0.05,290,859,33.8,860,124,70,52.8,281,91.5,69.7,336,32,9.5,22,0.58,15.3,Matches
37,Mathew Ryan,au AUS,GK,Brighton,28,1992,11,19,4,0,3,1,14.8,0.37,-3.2,-0.29,57,141,40.4,341,56,33.4,32.5,58,46.6,40.2,103,7,6.8,6,0.55,14.4,Matches
39,Robert Sánchez,es ESP,GK,Brighton,22,1997,27,27,2,0,6,1,30.8,0.34,+4.8,+0.18,182,472,38.6,918,107,40.5,38.3,177,56.5,46.7,210,11,5.2,14,0.52,14.4,Matches
40,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38,50,4,0,9,2,48.5,0.34,+0.5,+0.01,226,533,42.4,1009,164,42.4,38,209,50.2,42.7,297,24,8.1,14,0.37,13,Matches
