Squad,Poss,Gls,Ast,G-PK,Gls(p90),Ast(p90),G+A(p90),G-PK(p90),G+A-PK(p90)
Arsenal,58.9,73,55,69,1.92,1.45,3.37,1.82,3.26
Bournemouth,51.5,53,33,46,1.39,0.87,2.26,1.21,2.08
Burnley,40.3,39,24,33,1.03,0.63,1.66,0.87,1.5
Chelsea,55.1,83,53,81,2.18,1.39,3.58,2.13,3.53
Crystal Palace,45.4,48,32,44,1.26,0.84,2.11,1.16,2
Everton,52.1,58,45,55,1.53,1.18,2.71,1.45,2.63
Hull City,45.9,36,24,33,0.95,0.63,1.58,0.87,1.5
Leicester City,41.9,46,32,42,1.21,0.84,2.05,1.11,1.95
Liverpool,62,77,52,70,2.03,1.37,3.39,1.84,3.21
Manchester City,65,75,54,68,1.97,1.42,3.39,1.79,3.21
Manchester Utd,56.5,54,37,51,1.42,0.97,2.39,1.34,2.32
Middlesbrough,47.3,26,22,24,0.68,0.58,1.26,0.63,1.21
Southampton,54.4,39,27,36,1.03,0.71,1.74,0.95,1.66
Stoke City,46.3,37,24,33,0.97,0.63,1.61,0.87,1.5
Sunderland,39.7,28,11,23,0.74,0.29,1.03,0.61,0.89
Swansea City,47.9,45,31,42,1.18,0.82,2,1.11,1.92
Tottenham,60.5,84,59,77,2.21,1.55,3.76,2.03,3.58
Watford,46.1,39,27,36,1.03,0.71,1.74,0.95,1.66
West Brom,37.3,43,33,42,1.13,0.87,2,1.11,1.97
West Ham,47.1,46,28,43,1.21,0.74,1.95,1.13,1.87
