Squad,90s,TotalCmp,TotalPassAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtm,ShortCmp%,MediumCmp,MediumAtm,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,Pass2Shots,1/3,PPA,CrsPA,Prog
Arsenal,38,20841,24883,83.8,395187,124268,8620,9665,89.2,9006,10136,88.9,2778,4171,66.6,61,51.3,+7.7,433,1629,506,62,1887
Bournemouth,38,13512,17678,76.4,263586,93888,5591,6479,86.3,5709,6862,83.2,1973,3640,54.2,36,32.2,+3.8,350,965,302,75,1232
Brighton,38,11951,16139,74.1,254205,92911,4547,5388,84.4,4821,5895,81.8,2343,4203,55.7,25,23,+2.0,278,852,196,69,984
Burnley,38,10494,14958,70.2,228177,92905,3995,4784,83.5,4315,5453,79.1,2021,4218,47.9,26,23.8,+2.2,281,893,231,88,954
Chelsea,38,18952,22867,82.9,370412,117253,7454,8393,88.8,8447,9527,88.7,2709,4113,65.9,42,42.2,+0.8,472,1419,417,79,1672
Crystal Palace,38,11832,15896,74.4,233907,94226,4991,5766,86.6,4705,5757,81.7,1827,3628,50.4,26,33.7,-7.7,319,975,289,64,1158
Everton,38,11989,16282,73.6,245285,92141,4810,5625,85.5,4871,5918,82.3,2018,4013,50.3,26,24.3,+1.7,264,994,223,77,1037
Huddersfield,38,12082,16537,73.1,242929,91373,5040,5931,85,4762,6011,79.2,2025,3881,52.2,19,21.9,-2.9,243,866,181,72,942
Leicester City,38,12332,16782,73.5,253311,93951,4962,5897,84.1,4915,6046,81.3,2181,4149,52.6,38,31.9,+6.1,284,977,229,73,1072
Liverpool,38,20254,24340,83.2,396306,123680,7654,8544,89.6,9440,10593,89.1,2824,4424,63.8,58,50,+8.0,472,1645,503,82,1909
Manchester City,38,26108,29601,88.2,475022,134071,11660,12599,92.5,11194,12254,91.3,2899,3965,73.1,85,63.3,+20.7,494,1992,537,69,2011
Manchester Utd,38,17775,21650,82.1,329922,107293,8100,8949,90.5,6812,7836,86.9,2412,3993,60.4,53,43.8,+9.2,369,1234,369,86,1409
Newcastle Utd,38,11037,15256,72.3,220281,89385,4737,5596,84.6,4225,5304,79.7,1822,3705,49.2,29,30.6,-1.6,310,858,238,80,990
Southampton,38,14318,18664,76.7,278547,95538,6133,6984,87.8,5879,7015,83.8,2064,3988,51.8,23,31.7,-8.7,333,1131,291,87,1286
Stoke City,38,10142,14370,70.6,215530,92753,4011,4889,82,4072,5174,78.7,1872,3760,49.8,28,25.8,+3.2,276,923,233,58,997
Swansea City,38,13270,17180,77.2,266786,92897,5559,6291,88.4,5174,6179,83.7,2272,4038,56.3,20,18.4,+0.6,212,942,207,55,1012
Tottenham,38,19287,23469,82.2,379549,121395,7446,8402,88.6,8701,9964,87.3,2837,4366,65,51,47.9,+3.1,449,1622,395,73,1837
Watford,38,12739,17187,74.1,251757,95676,5509,6409,86,4947,6190,79.9,2039,3872,52.7,27,29.8,-2.8,298,1031,293,82,1186
West Brom,38,10479,14714,71.2,220231,91316,4164,4924,84.6,4196,5230,80.2,1915,3958,48.4,24,23.3,+0.7,262,924,235,107,972
West Ham,38,11768,15935,73.9,231664,87782,5214,5999,86.9,4409,5434,81.1,1884,3829,49.2,29,25.3,+7.7,268,879,228,74,959
