Squad,Gls,Ast,G-PK,Gls(p90),Ast(p90),G+A(p90),G-PK(p90),G+A-PK(p90)
Arsenal,69,54,64,1.82,1.42,3.24,1.68,3.11
Aston Villa,47,34,44,1.24,0.89,2.13,1.16,2.05
Chelsea,71,50,62,1.87,1.32,3.18,1.63,2.95
Everton,53,42,51,1.39,1.11,2.5,1.34,2.45
Fulham,45,32,39,1.18,0.84,2.03,1.03,1.87
Liverpool,67,47,62,1.76,1.24,3,1.63,2.87
Manchester City,64,45,60,1.68,1.18,2.87,1.58,2.76
Manchester Utd,80,63,76,2.11,1.66,3.76,2,3.66
Newcastle Utd,43,22,39,1.13,0.58,1.71,1.03,1.61
Norwich City,40,27,39,1.05,0.71,1.76,1.03,1.74
QPR,29,22,28,0.76,0.58,1.34,0.74,1.32
Reading,41,28,37,1.08,0.74,1.82,0.97,1.71
Southampton,46,25,43,1.21,0.66,1.87,1.13,1.79
Stoke City,33,23,30,0.87,0.61,1.47,0.79,1.39
Sunderland,39,24,35,1.03,0.63,1.66,0.92,1.55
Swansea City,47,32,47,1.24,0.84,2.08,1.24,2.08
Tottenham,62,45,62,1.63,1.18,2.82,1.63,2.82
West Brom,50,38,45,1.32,1,2.32,1.18,2.18
West Ham,43,33,39,1.13,0.87,2,1.03,1.89
Wigan Athletic,45,35,44,1.18,0.92,2.11,1.16,2.08
