Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,26,1990,24.3,887,1157,76.7,15736,7219,401,438,91.6,389,489,79.6,81,179,45.3,1,1.8,-0.8,17,66,25,6,97,Matches
2,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,30,43,69.8,411,98,22,26,84.6,6,9,66.7,2,4,50,0,0,0,0,0,1,1,0,Matches
3,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,19,1997,19.2,217,305,71.1,3217,700,122,154,79.2,63,91,69.2,18,30,60,1,1,0,9,14,10,5,22,Matches
4,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,31,1985,4.6,170,286,59.4,4227,1546,43,57,75.4,72,91,79.1,54,130,41.5,0,1.1,-1.1,7,23,8,4,28,Matches
5,Adrián\f76e6b4e,es ESP,GK,West Ham,30,1987,19,258,573,45,12276,9667,8,8,100,57,59,96.6,193,506,38.1,0,0,0,0,11,1,0,0,Matches
6,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,31,1986,1.8,70,81,86.4,1413,268,28,31,90.3,32,36,88.9,10,14,71.4,0,0,0,0,5,0,0,5,Matches
7,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,24,1993,6.8,116,150,77.3,1458,141,78,98,79.6,29,38,76.3,3,4,75,0,0.1,-0.1,2,5,3,0,6,Matches
8,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,29,1988,21.8,528,643,82.1,6912,1225,363,410,88.5,136,170,80,13,19,68.4,6,7.4,-1.4,40,24,24,0,38,Matches
9,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,22,1995,37.3,1340,1565,85.6,28031,9652,404,452,89.4,697,784,88.9,221,294,75.2,3,1.9,+1.1,6,62,2,0,75,Matches
10,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,27,1989,28.2,757,1254,60.4,15752,6986,322,403,79.9,266,392,67.9,157,399,39.3,7,5.1,+1.9,45,96,37,15,117,Matches
