Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
11,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,28,1989,13.1,801,933,85.9,19616,6339,185,195,94.9,413,443,93.2,199,285,69.8,0,0.3,-0.3,3,98,8,1,76,Matches
12,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,18,1998,17.5,958,1282,74.7,18564,6778,415,457,90.8,384,484,79.3,147,291,50.5,1,2.2,-1.2,26,61,33,7,101,Matches
13,Joe Allen\9feb8f24,wls WAL,MF,Stoke City,27,1990,34.9,1101,1375,80.1,19238,5284,481,563,85.4,493,580,85,100,163,61.3,6,2.7,+3.3,33,108,28,2,125,Matches
14,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,21,1996,32.9,998,1279,78,15953,4270,514,605,85,371,450,82.4,80,135,59.3,10,7.7,+2.3,59,93,52,3,135,Matches
15,Marcos Alonso\f4290206,es ESP,DF,Chelsea,26,1990,31.7,1341,1712,78.3,23605,7148,624,708,88.1,569,684,83.2,129,229,56.3,2,2.7,-0.7,33,47,29,13,117,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,22,1994,5.4,244,308,79.2,4578,1916,102,113,90.3,104,126,82.5,34,61,55.7,0,0,0,0,14,0,0,20,Matches
17,Ethan Ampadu\10b9fa99,wls WAL,DF,Chelsea,16,2000,0.1,19,19,100,462,106,2,2,100,14,14,100,3,3,100,0,0,0,0,1,0,0,2,Matches
18,Nordin Amrabat\7c2a398c,ma MAR,FW,Watford,30,1987,2.2,46,76,60.5,745,222,27,34,79.4,12,25,48,6,11,54.5,0,0.2,-0.2,2,6,3,2,6,Matches
19,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,27,1990,15,292,482,60.6,5112,1608,159,208,76.4,80,130,61.5,40,105,38.1,1,0.8,+0.2,14,21,15,9,25,Matches
20,Scott Arfield\b1313ec4,ca CAN,MF,Burnley,28,1988,14.8,251,369,68,3683,941,145,175,82.9,95,143,66.4,8,31,25.8,1,0.4,+0.6,7,17,6,1,26,Matches
21,Marko Arnautović\00459419,at AUT,FWMF,West Ham,28,1989,25.7,502,757,66.3,6941,1613,320,398,80.4,127,210,60.5,33,79,41.8,6,4,+2.0,30,30,18,6,36,Matches
22,Harry Arter\2f4c5a52,ie IRL,MF,Bournemouth,27,1989,10.7,505,587,86,9794,2242,207,220,94.1,222,241,92.1,69,108,63.9,0,0.2,-0.2,2,51,6,1,44,Matches
23,Christian Atsu\8816329f,gh GHA,FWMF,Newcastle Utd,25,1992,19.8,355,507,70,5088,1547,211,250,84.4,105,155,67.7,22,56,39.3,2,2.7,-0.7,24,16,16,6,30,Matches
24,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,28,1989,11.7,222,324,68.5,2879,526,139,176,79,60,90,66.7,7,25,28,4,1.2,+2.8,14,11,6,2,18,Matches
25,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,24,1992,15.9,786,1036,75.9,12877,4635,388,462,84,325,419,77.6,56,110,50.9,2,1.9,+0.1,14,37,24,7,71,Matches
26,Charlie Austin\8d228291,eng ENG,FW,Southampton,28,1989,11.5,174,247,70.4,2664,477,94,117,80.3,60,87,69,12,24,50,0,0.4,-0.4,2,14,1,0,17,Matches
27,André Ayew\5dbefa9d,gh GHA,FWMF,Swansea City,27,1989,10.6,246,306,80.4,3469,576,150,174,86.2,68,82,82.9,13,23,56.5,2,1.5,+0.5,12,12,7,0,16,Matches
28,André Ayew\5dbefa9d,gh GHA,MFFW,West Ham,27,1989,9.9,214,283,75.6,2801,594,137,157,87.3,57,79,72.2,7,21,33.3,2,0.2,+1.8,2,10,5,1,15,Matches
29,Jordan Ayew\da052c14,gh GHA,FWMF,Swansea City,25,1991,31.7,695,880,79,9766,1386,433,491,88.2,195,248,78.6,41,75,54.7,2,0.8,+1.2,11,35,24,2,43,Matches
30,César Azpilicueta\53cad200,es ESP,DF,Chelsea,27,1989,37,2464,2898,85,47755,17455,919,1016,90.5,1198,1326,90.3,311,492,63.2,6,3,+3.0,28,214,38,5,243,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,23,1994,11.1,371,414,89.6,7598,2149,115,123,93.5,193,203,95.1,59,83,71.1,0,0.3,-0.3,2,12,2,0,19,Matches
32,Leighton Baines\b18095b6,eng ENG,DF,Everton,32,1984,21.2,788,1016,77.6,14523,6595,345,379,91,332,401,82.8,98,195,50.3,3,1.9,+1.1,26,66,23,11,100,Matches
33,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Chelsea,22,1994,23.6,948,1107,85.6,16196,3768,451,504,89.5,388,446,87,86,114,75.4,2,0.6,+1.4,13,86,8,1,82,Matches
34,Sam Baldock\9d597f08,eng ENG,MF,Brighton,28,1989,0.4,4,7,57.1,41,11,4,5,80,0,1,0,0,0,,0,0,0,0,0,0,0,0,Matches
35,Beni Baningime\ca9178af,cd COD,MF,Everton,18,1998,2.2,66,83,79.5,1159,277,29,34,85.3,28,32,87.5,6,9,66.7,0,0,0,0,7,1,0,8,Matches
36,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,32,1985,12.5,402,582,69.1,7675,3887,162,179,90.5,184,261,70.5,53,128,41.4,0,0.8,-0.8,9,50,16,9,42,Matches
37,Ross Barkley\3a24769f,eng ENG,MFFW,Chelsea,23,1993,1.4,40,53,75.5,635,122,23,27,85.2,9,14,64.3,6,9,66.7,0,0.1,-0.1,2,2,1,1,1,Matches
38,Ashley Barnes\2691c772,eng ENG,FWMF,Burnley,27,1989,24.1,324,522,62.1,4825,1116,192,268,71.6,98,160,61.3,22,51,43.1,0,1.9,-1.9,17,18,13,2,29,Matches
39,Harvey Barnes\3ea50f67,eng ENG,MF,Leicester City,19,1997,0.1,6,8,75,82,8,4,4,100,2,2,100,0,1,0,0,0,0,0,0,0,0,0,Matches
40,Gareth Barry\7dbbe367,eng ENG,MF,West Brom,36,1981,21.4,720,949,75.9,14486,4505,285,335,85.1,302,355,85.1,119,232,51.3,1,1.6,-0.6,18,99,15,3,109,Matches
41,Kyle Bartley\18e96f64,eng ENG,DF,Swansea City,26,1991,2.6,87,107,81.3,1914,594,26,30,86.7,45,50,90,15,25,60,0,0.3,-0.3,2,6,0,0,8,Matches
42,Michy Batshuayi\2973d8ff,be BEL,FW,Chelsea,23,1993,4,68,91,74.7,978,129,40,46,87,19,28,67.9,4,5,80,1,0.2,+0.8,2,5,1,0,4,Matches
43,Moritz Bauer\cfe6238d,at AUT,DFMF,Stoke City,25,1992,14.5,290,469,61.8,5790,2752,119,158,75.3,103,154,66.9,62,135,45.9,0,1,-1,14,18,11,9,17,Matches
44,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,21,1996,4.7,139,179,77.7,2979,969,47,49,95.9,67,80,83.8,24,47,51.1,0,0,0,0,6,0,0,13,Matches
45,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,30,1987,38,689,1152,59.8,24246,15923,68,69,98.6,301,305,98.7,319,776,41.1,0,0,0,1,4,0,0,0,Matches
46,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,22,1995,33.9,1834,2184,84,29089,8838,967,1076,89.9,733,843,87,97,162,59.9,3,3.6,-0.6,32,78,55,11,141,Matches
47,Yohan Benalouane\8309b068,tn TUN,DF,Leicester City,30,1987,1,23,33,69.7,463,80,9,11,81.8,9,12,75,5,8,62.5,0,0,0,0,0,0,0,1,Matches
48,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,26,1990,24.9,390,660,59.1,5781,1125,217,334,65,125,234,53.4,23,42,54.8,5,2.7,+2.3,26,30,15,1,45,Matches
49,Saido Berahino\25b166d0,bi BDI,FW,Stoke City,23,1993,5.5,75,99,75.8,1198,159,37,47,78.7,33,39,84.6,4,8,50,1,0.5,+0.5,3,5,3,1,5,Matches
50,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,26,1990,31.5,661,1018,64.9,13083,5052,287,358,80.2,238,332,71.7,118,280,42.1,8,4.8,+3.2,66,37,29,15,70,Matches
51,Ryan Bertrand\01226327,eng ENG,DF,Southampton,27,1989,34.8,1498,1931,77.6,23985,10686,827,913,90.6,520,655,79.4,116,268,43.3,4,3.6,+0.4,36,124,44,13,158,Matches
52,Muhamed Bešić\7ca9f0f0,ba BIH,MF,Everton,24,1992,0.5,26,28,92.9,544,68,13,13,100,7,7,100,6,8,75,0,0,0,1,1,1,0,1,Matches
53,Philip Billing\d328a254,dk DEN,MF,Huddersfield,21,1996,8.5,289,385,75.1,5277,1184,134,157,85.4,98,125,78.4,45,82,54.9,0,0.3,-0.3,2,24,3,2,26,Matches
54,Mame Biram Diouf\7f4f3e49,sn SEN,FWDF,Stoke City,29,1987,28.8,354,638,55.5,5469,1865,193,302,63.9,136,234,58.1,15,53,28.3,2,1.6,+0.4,17,30,8,2,46,Matches
55,Daley Blind\691bef82,nl NED,DFMF,Manchester Utd,27,1990,4,213,266,80.1,3698,1361,103,111,92.8,78,91,85.7,25,53,47.2,0,0.4,-0.4,4,17,5,4,22,Matches
56,Jeremie Boga\fe012aca,ci CIV,FW,Chelsea,20,1997,0.2,4,4,100,37,12,4,4,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
57,Yannick Bolasie\715fc0fe,cd COD,FW,Everton,28,1989,9.5,146,266,54.9,2331,584,76,105,72.4,55,89,61.8,11,50,22,0,0.4,-0.4,3,9,7,4,15,Matches
58,Gaëtan Bong\cfd5e123,cm CMR,DF,Brighton,29,1988,24.8,739,1074,68.8,12671,6629,334,395,84.6,329,454,72.5,62,171,36.3,0,0.7,-0.7,9,60,7,5,65,Matches
59,Wilfried Bony\61abe9b6,ci CIV,FW,Swansea City,28,1988,7.9,133,200,66.5,1767,376,85,113,75.2,34,54,63,5,12,41.7,0,0.3,-0.3,4,10,3,0,11,Matches
60,Sofiane Boufal\b0c71810,ma MAR,FWMF,Southampton,23,1993,13.5,427,571,74.8,7199,1994,215,261,82.4,157,202,77.7,40,75,53.3,2,1.7,+0.3,20,39,27,7,57,Matches
61,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,25,1992,14.2,353,573,61.6,7375,2939,153,186,82.3,131,192,68.2,68,177,38.4,2,2.4,-0.4,29,39,18,5,51,Matches
62,Claudio Bravo\10072610,cl CHI,GK,Manchester City,34,1983,2.5,66,73,90.4,1766,1108,5,5,100,43,43,100,18,25,72,0,0,0,0,0,0,0,0,Matches
63,Miguel Britos\356a9a62,uy URU,DF,Watford,32,1985,8.9,309,377,82,7350,2851,71,81,87.7,156,170,91.8,81,121,66.9,0,0.1,-0.1,2,35,3,0,32,Matches
64,Leon Britton\b92dd711,eng ENG,MF,Swansea City,34,1982,3.4,130,140,92.9,2366,402,52,56,92.9,68,71,95.8,10,12,83.3,0,0,0,0,10,1,0,4,Matches
65,Izzy Brown\bf54c8cc,eng ENG,MFFW,Brighton,20,1997,3.5,98,132,74.2,1475,360,53,62,85.5,33,44,75,7,13,53.8,0,0.7,-0.7,6,8,4,3,7,Matches
66,Bruno\78803d03,es ESP,DF,Brighton,36,1980,22.4,962,1217,79,18673,7730,407,446,91.3,386,467,82.7,155,266,58.3,0,0.9,-0.9,9,50,12,6,54,Matches
67,Chris Brunt\ec7e6ad1,nir NIR,MFDF,West Brom,32,1984,21.3,730,1053,69.3,16863,7300,251,286,87.8,289,365,79.2,180,378,47.6,7,4.1,+2.9,41,100,24,8,101,Matches
68,Oliver Burke\f631c17f,sct SCO,FWMF,West Brom,20,1997,4.1,111,146,76,1557,289,79,86,91.9,27,43,62.8,5,10,50,2,0.5,+1.5,4,5,3,2,4,Matches
69,Jack Butland\cc70a1d5,eng ENG,GK,Stoke City,24,1993,35,645,1269,50.8,31961,25688,31,33,93.9,156,165,94.5,458,1071,42.8,0,0,0,1,51,0,0,0,Matches
70,Sam Byram\1bf811d4,eng ENG,DF,West Ham,23,1993,2.8,72,117,61.5,1193,660,35,47,74.5,30,44,68.2,5,21,23.8,0,0.2,-0.2,2,5,4,2,13,Matches
71,Willy Caballero\a179d516,ar ARG,GK,Chelsea,35,1981,3,76,99,76.8,2214,1490,15,15,100,36,36,100,23,44,52.3,0,0,0,0,0,0,0,0,Matches
72,Yohan Cabaye\ad7b19ef,fr FRA,MF,Crystal Palace,31,1986,26.4,1120,1440,77.8,21033,7441,492,541,90.9,416,489,85.1,175,350,50,1,4,-3,44,107,16,0,122,Matches
73,Gary Cahill\7914b9fe,eng ENG,DF,Chelsea,31,1985,23.2,1189,1336,89,24165,8068,377,412,91.5,628,682,92.1,173,223,77.6,0,0.1,-0.1,3,67,2,0,52,Matches
74,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,20,1997,20.9,317,503,63,4249,1001,195,276,70.7,85,146,58.2,12,25,48,6,2,+4.0,19,12,13,5,30,Matches
75,Geoff Cameron\1a160ea3,us USA,DFMF,Stoke City,32,1985,16.9,403,581,69.4,8219,3446,148,171,86.5,179,224,79.9,67,168,39.9,0,0.1,-0.1,6,43,4,1,47,Matches
76,Tyrese Campbell\38aefb74,eng ENG,FW,Stoke City,17,1999,0.9,10,17,58.8,140,44,4,8,50,6,6,100,0,1,0,0,0,0,0,1,4,0,4,Matches
77,Emre Can\a65ce836,de GER,MF,Liverpool,23,1994,23.2,1326,1534,86.4,25253,5196,529,583,90.7,609,666,91.4,170,244,69.7,4,2.9,+1.1,23,123,23,0,110,Matches
78,Étienne Capoue\5acc4a10,fr FRA,MF,Watford,29,1988,17.1,712,860,82.8,14111,3368,303,343,88.3,281,323,87,114,169,67.5,0,0.9,-0.9,8,69,8,1,62,Matches
79,Michael Carrick\ab7263c1,eng ENG,MF,Manchester Utd,36,1981,1.2,83,99,83.8,1727,845,35,37,94.6,29,31,93.5,18,28,64.3,0,0,0,1,14,0,0,14,Matches
80,André Carrillo\7527558b,pe PER,FWMF,Watford,26,1991,17.1,572,768,74.5,9274,2528,319,366,87.2,174,244,71.3,63,112,56.3,2,2.5,-0.5,17,37,25,8,63,Matches
81,Guido Carrillo\8f898ba8,ar ARG,FW,Southampton,26,1991,5,86,120,71.7,1233,241,59,76,77.6,19,29,65.5,7,9,77.8,1,0.4,+0.6,4,6,3,0,9,Matches
82,Andy Carroll\b581987a,eng ENG,FW,West Ham,28,1989,8.3,154,253,60.9,2568,506,73,103,70.9,56,92,60.9,16,37,43.2,0,0.5,-0.5,6,9,8,3,12,Matches
83,Tom Carroll\5a1900a4,eng ENG,MF,Swansea City,25,1992,28.6,1227,1555,78.9,23261,7274,545,599,91,471,545,86.4,179,340,52.6,4,3.9,+0.1,48,159,32,7,160,Matches
84,Craig Cathcart\89e4b358,nir NIR,DF,Watford,28,1989,5.8,140,173,80.9,3530,1208,40,42,95.2,54,58,93.1,44,70,62.9,0,0,0,0,11,1,0,10,Matches
85,Petr Čech\71672fa0,cz CZE,GK,Arsenal,35,1982,33.8,740,1038,71.3,23611,14897,65,68,95.6,361,361,100,314,608,51.6,0,0,0,0,8,0,0,1,Matches
86,Nacer Chadli\5b54bf3b,be BEL,MFFW,West Brom,27,1989,2.9,56,80,70,796,172,33,40,82.5,21,26,80.8,1,9,11.1,0,0.1,-0.1,2,3,2,0,4,Matches
87,Nathaniel Chalobah\422862ea,eng ENG,MF,Watford,22,1994,5,128,182,70.3,2370,796,53,69,76.8,59,75,78.7,11,30,36.7,0,0,0,1,15,2,0,21,Matches
88,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,22,1995,9.6,526,623,84.4,10685,3404,182,202,90.1,253,286,88.5,84,120,70,0,0.1,-0.1,3,30,7,1,40,Matches
89,Ben Chilwell\d2424d1b,eng ENG,DF,Leicester City,20,1996,20.6,856,1179,72.6,14728,5532,413,476,86.8,344,468,73.5,81,170,47.6,2,2.1,-0.1,22,52,27,13,78,Matches
90,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,19,1997,4.2,142,175,81.1,2845,830,56,63,88.9,64,72,88.9,21,36,58.3,1,0.2,+0.8,1,17,0,0,10,Matches
91,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,21,1996,23.2,1251,1319,94.8,27998,7632,299,308,97.1,684,708,96.6,260,287,90.6,0,0.2,-0.2,4,53,1,0,67,Matches
92,Lee Chung-yong\49b05a83,kr KOR,FWMF,Crystal Palace,29,1988,1.5,58,76,76.3,845,225,38,41,92.7,16,22,72.7,3,10,30,0,0.1,-0.1,2,1,1,0,4,Matches
93,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,27,1989,19.4,501,677,74,11547,4485,139,161,86.3,245,284,86.3,113,214,52.8,1,0.4,+0.6,3,39,3,0,30,Matches
94,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,27,1989,21.1,947,1198,79,17255,5008,441,485,90.9,346,415,83.4,136,249,54.6,2,1.5,+0.5,30,123,20,4,111,Matches
95,Sam Clucas\987718f5,eng ENG,MFFW,Swansea City,26,1990,22.7,679,852,79.7,12770,2984,294,338,87,279,322,86.6,90,152,59.2,1,1.1,-0.1,14,44,6,2,45,Matches
96,Nathaniel Clyne\0442183b,eng ENG,DFFW,Liverpool,26,1991,1.9,111,138,80.4,1855,602,50,57,87.7,47,56,83.9,9,15,60,0,0.1,-0.1,1,6,3,2,9,Matches
97,Séamus Coleman\0420d84f,ie IRL,DF,Everton,28,1988,11.5,378,519,72.8,6210,2681,206,232,88.8,138,190,72.6,28,70,40,1,0.5,+0.5,8,29,8,3,39,Matches
98,James Collins\c61f1719,wls WAL,DF,West Ham,33,1983,11.7,283,386,73.3,6428,2604,81,89,91,138,168,82.1,61,122,50,0,0.4,-0.4,2,13,0,0,14,Matches
99,Lewis Cook\2afc7272,eng ENG,MF,Bournemouth,20,1997,24.9,990,1251,79.1,20757,6084,364,434,83.9,426,494,86.2,190,278,68.3,2,1.3,+0.7,27,147,22,2,140,Matches
100,Steve Cook\3e5e4e63,eng ENG,DF,Bournemouth,26,1991,30.7,1017,1317,77.2,24179,7798,227,261,87,532,626,85,251,404,62.1,1,0.3,+0.7,5,59,4,1,64,Matches
101,Francis Coquelin\a6951bf8,fr FRA,MFDF,Arsenal,26,1991,1.9,85,99,85.9,1621,447,32,36,88.9,34,36,94.4,15,19,78.9,0,0.2,-0.2,1,8,1,0,9,Matches
102,Jack Cork\74e12f1e,eng ENG,MF,Burnley,28,1989,38,1270,1584,80.2,23847,5644,535,616,86.9,535,634,84.4,175,269,65.1,1,0.9,+0.1,18,115,18,2,123,Matches
103,Thibaut Courtois\1840e36d,be BEL,GK,Chelsea,25,1992,35,896,1194,75,27001,16086,105,106,99.1,483,486,99.4,305,596,51.2,0,0,0,0,11,0,0,0,Matches
104,Philippe Coutinho\0ef89a37,br BRA,MFFW,Liverpool,25,1992,12.3,561,755,74.3,11117,3681,208,252,82.5,252,305,82.6,88,160,55,6,4.2,+1.8,41,90,47,8,117,Matches
105,Martin Cranie\9e53837d,eng ENG,DF,Huddersfield,30,1986,2,73,90,81.1,1555,484,23,24,95.8,39,45,86.7,10,19,52.6,0,0,0,0,5,0,0,2,Matches
106,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,27,1989,34.1,1224,1707,71.7,23519,10212,560,622,90,472,587,80.4,183,449,40.8,3,2.8,+0.2,35,117,21,14,96,Matches
107,Peter Crouch\73d9bdc7,eng ENG,FW,Stoke City,36,1981,17.4,377,633,59.6,4962,1246,262,405,64.7,93,160,58.1,9,25,36,2,2.9,-0.9,20,46,6,0,50,Matches
108,Josh Cullen\f6d7d690,ie IRL,MF,West Ham,21,1996,0.1,3,4,75,18,3,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
109,Charlie Daniels\9d107085,eng ENG,DF,Bournemouth,30,1986,33.4,1546,2014,76.8,26025,10516,800,886,90.3,607,779,77.9,120,281,42.7,3,2.9,+0.1,31,92,26,9,128,Matches
110,Danilo\94b2001f,br BRA,DF,Manchester City,26,1991,15,1105,1238,89.3,19332,5045,532,557,95.5,463,507,91.3,101,148,68.2,2,0.2,+1.8,5,80,14,1,88,Matches
111,Scott Dann\52105203,eng ENG,DF,Crystal Palace,30,1987,15.9,451,558,80.8,10169,3735,128,149,85.9,215,239,90,102,158,64.6,0,0.1,-0.1,4,35,3,1,37,Matches
112,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,26,1990,10,175,335,52.2,7300,5724,13,13,100,60,61,98.4,102,261,39.1,0,0,0,0,5,0,0,0,Matches
113,Matteo Darmian\96e0490d,it ITA,DF,Manchester Utd,27,1989,4.9,204,249,81.9,3359,1146,106,113,93.8,76,94,80.9,18,33,54.5,0,0.1,-0.1,1,13,0,0,13,Matches
114,Ben Davies\44781702,wls WAL,DF,Tottenham,24,1993,25.8,1323,1750,75.6,23645,9186,595,685,86.9,567,709,80,134,275,48.7,6,3.5,+2.5,47,105,35,12,167,Matches
115,Tom Davies\9228b07c,eng ENG,MF,Everton,19,1998,21.1,545,703,77.5,9004,2118,266,304,87.5,208,264,78.8,48,89,53.9,1,0.9,+0.1,9,42,12,1,48,Matches
116,Steven Davis\cf15bbb1,nir NIR,MFFW,Southampton,32,1985,16.9,879,1073,81.9,16120,4098,391,433,90.3,383,426,89.9,94,165,57,0,1.3,-1.3,17,100,22,3,87,Matches
117,Craig Dawson\3e9e06cb,eng ENG,DF,West Brom,27,1990,27.9,777,1095,71,16397,7543,283,335,84.5,337,427,78.9,142,293,48.5,0,0.8,-0.8,11,79,18,11,79,Matches
118,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,26,1991,34.1,2328,2975,78.3,44760,12509,980,1146,85.5,995,1195,83.3,324,536,60.4,16,13.4,+2.6,106,254,122,21,317,Matches
119,Troy Deeney\82e34b69,eng ENG,FW,Watford,29,1988,20.5,327,559,58.5,4885,1269,192,295,65.1,96,167,57.5,23,47,48.9,2,2.9,-0.9,24,37,16,1,41,Matches
120,Jermain Defoe\f1e8372d,eng ENG,FWMF,Bournemouth,34,1982,12.1,104,140,74.3,1427,243,71,90,78.9,22,32,68.8,8,9,88.9,1,1.2,-0.2,14,0,4,0,7,Matches
121,Steven Defour\73489527,be BEL,MF,Burnley,29,1988,22.2,852,1040,81.9,17020,4705,310,349,88.8,397,451,88,131,213,61.5,1,1.2,-0.2,16,90,21,9,95,Matches
122,Damien Delaney\210d9ecb,ie IRL,DF,Crystal Palace,36,1981,1.1,29,41,70.7,549,375,12,13,92.3,11,16,68.8,5,9,55.6,0,0,0,0,1,0,0,2,Matches
123,Fabian Delph\111c3236,eng ENG,DF,Manchester City,27,1989,19.3,1659,1777,93.4,26998,7076,912,938,97.2,610,647,94.3,116,155,74.8,2,1.2,+0.8,12,130,13,2,108,Matches
124,Mousa Dembélé\f7ee69fb,be BEL,MF,Tottenham,30,1987,20.9,1313,1417,92.7,23011,6501,578,612,94.4,615,654,94,109,127,85.8,0,0.8,-0.8,16,158,7,3,172,Matches
125,Laurent Depoitre\aa5859cb,be BEL,FW,Huddersfield,28,1988,20.2,277,467,59.3,3712,569,171,249,68.7,78,155,50.3,11,23,47.8,1,1.2,-0.2,11,17,0,0,18,Matches
126,Mike van der Hoorn\25f50295,nl NED,DF,Swansea City,24,1992,21.6,675,858,78.7,15191,5482,202,225,89.8,304,344,88.4,163,272,59.9,0,0.6,-0.6,4,42,4,3,40,Matches
127,Gerard Deulofeu\39583cfd,es ESP,FWMF,Watford,23,1994,4.8,114,166,68.7,1929,505,57,71,80.3,34,54,63,17,22,77.3,0,0.7,-0.7,11,9,5,2,10,Matches
128,Fousseni Diabaté\d07e3b41,ml MLI,MFFW,Leicester City,21,1995,6.5,175,230,76.1,2427,638,105,129,81.4,55,67,82.1,7,14,50,1,0.6,+0.4,7,8,4,2,16,Matches
129,Mohamed Diamé\b7d082af,sn SEN,MF,Newcastle Utd,30,1987,22.7,674,819,82.3,12394,3032,313,368,85.1,252,291,86.6,91,122,74.6,0,0.5,-0.5,11,63,8,1,61,Matches
130,Brahim Díaz\407feb71,es ESP,FWMF,Manchester City,17,1999,0.6,26,28,92.9,366,52,14,14,100,11,13,84.6,0,0,,0,0,0,0,0,0,0,0,Matches
131,Eric Dier\ac861941,eng ENG,MFDF,Tottenham,23,1994,31.4,1922,2234,86,40324,11813,623,705,88.4,933,1025,91,339,455,74.5,2,1.4,+0.6,13,211,25,2,172,Matches
132,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,26,1991,14,996,1068,93.3,22818,6351,253,259,97.7,516,531,97.2,221,266,83.1,0,0.8,-0.8,3,59,2,0,53,Matches
133,Virgil van Dijk\e06683ca,nl NED,DF,Southampton,26,1991,11,523,597,87.6,11910,3257,152,164,92.7,252,266,94.7,118,166,71.1,0,0,0,2,28,3,0,26,Matches
134,Abdoulaye Doucouré\02b29014,fr FRA,MF,Watford,24,1993,36.9,1894,2259,83.8,35051,7922,785,904,86.8,872,975,89.4,213,299,71.2,3,2.6,+0.4,39,158,32,2,166,Matches
135,Aleksandar Dragović\6fd8a334,at AUT,DF,Leicester City,26,1991,8.5,298,348,85.6,6929,2116,71,83,85.5,147,164,89.6,77,96,80.2,0,0,0,0,17,0,0,20,Matches
