Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
David de Gea,es ESP,GK,23,37,37,3313,36.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Wayne Rooney,eng ENG,FWMF,28,33,33,2873,31.9,12,5,11,1,2,5,1,0.38,0.16,0.53,0.34,0.5,Matches
Antonio Valencia,ec ECU,DFMF,28,32,29,2580,28.7,0,3,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
Juan Mata,es ESP,FWMF,26,33,27,2303,25.6,9,4,8,1,1,2,0,0.35,0.16,0.51,0.31,0.47,Matches
Daley Blind,nl NED,DFMF,24,25,25,2169,24.1,2,2,2,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Matches
Robin van Persie,nl NED,FW,30,27,25,2108,23.4,10,2,9,1,2,5,0,0.43,0.09,0.51,0.38,0.47,Matches
Ashley Young,eng ENG,DFFW,29,26,23,2065,22.9,2,5,2,0,0,5,0,0.09,0.22,0.31,0.09,0.31,Matches
Phil Jones,eng ENG,DFMF,22,22,22,1876,20.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Chris Smalling,eng ENG,DF,24,25,21,1879,20.9,4,0,4,0,0,2,1,0.19,0,0.19,0.19,0.19,Matches
Marcos Rojo,ar ARG,DF,24,22,20,1762,19.6,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Ángel Di María,ar ARG,FWMF,26,27,20,1639,18.2,3,10,3,0,0,1,0,0.16,0.55,0.71,0.16,0.71,Matches
Ander Herrera,es ESP,MF,24,26,19,1870,20.8,6,4,6,0,0,6,0,0.29,0.19,0.48,0.29,0.48,Matches
Marouane Fellaini,be BEL,MF,26,27,19,1831,20.3,6,0,6,0,0,5,1,0.29,0,0.29,0.29,0.29,Matches
Michael Carrick,eng ENG,MF,33,18,16,1457,16.2,1,2,1,0,0,1,0,0.06,0.12,0.19,0.06,0.19,Matches
Luke Shaw,eng ENG,DFMF,19,16,15,1121,12.5,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Radamel Falcao,co COL,FW,28,26,14,1287,14.3,4,4,4,0,0,2,0,0.28,0.28,0.56,0.28,0.56,Matches
Jonny Evans,nir NIR,DF,26,14,12,1090,12.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Paddy McNair,nir NIR,DFMF,19,16,12,1027,11.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Adnan Januzaj,be BEL,FWMF,19,18,7,856,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tyler Blackett,eng ENG,DF,20,11,6,654,7.3,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Rafael,br BRA,DFMF,24,10,6,592,6.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Darren Fletcher,sct SCO,MF,30,11,4,369,4.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
James Wilson,eng ENG,FW,18,13,2,357,4,1,0,1,0,0,3,0,0.25,0,0.25,0.25,0.25,Matches
Víctor Valdés,es ESP,GK,32,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Cleverley,eng ENG,MF,24,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Javier Hernández,mx MEX,FW,26,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jesse Lingard,eng ENG,FWMF,21,1,1,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michael Keane,eng ENG,DF,21,1,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Danny Welbeck,eng ENG,FWMF,23,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nani,pt POR,FWMF,27,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anderson,br BRA,MF,26,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Pereira,br BRA,MF,18,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Thorpe,eng ENG,DF,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Amos,eng ENG,GK,24,0,0,,,,,,,,,,,,,,,Matches
Reece James,eng ENG,DFMF,20,0,0,,,,,,,,,,,,,,,Matches
Shinji Kagawa,jp JPN,FWMF,25,0,0,,,,,,,,,,,,,,,Matches
Will Keane,ie IRL,FWMF,21,0,0,,,,,,,,,,,,,,,Matches
Anders Lindegaard,dk DEN,GK,30,0,0,,,,,,,,,,,,,,,Matches
Marnick Vermijl,be BEL,DF,22,0,0,,,,,,,,,,,,,,,Matches
